t_s,e_div12_V,e_div3_V,i_ind_fig7_A,i_tot_fig7_A
0.00685,59.0,21.8,-43.1,5009.9
0.00690,60.4,21.8,-32.3,5009.9
0.00695,61.4,21.8,-43.1,5009.9
0.00700,61.4,21.8,-43.1,5009.9
0.00705,61.4,21.8,-32.3,5009.9
0.00710,61.4,21.8,-43.4,5009.9
0.00715,61.4,21.8,-43.4,5009.9
0.00720,61.4,21.8,-43.4,5009.9
0.00725,61.4,21.8,-43.4,5009.9
0.00730,61.4,21.8,-11.7,5009.9
0.00735,61.4,21.8,-43.4,5006.0
0.00740,62.2,21.8,-54.5,4991.1
0.00745,63.5,21.8,-54.5,4903.4
0.00750,64.9,21.8,-54.5,4903.4
0.00755,65.4,21.8,-45.1,4892.3
0.00760,65.4,21.8,-45.1,4892.3
0.00765,65.4,21.8,-60.9,4902.3
0.00770,65.4,21.8,-77.6,4902.3
0.00775,65.4,21.8,-87.0,4903.4
0.00780,65.4,21.8,-77.6,4903.4
0.00785,65.4,21.8,-77.6,4902.3
0.00790,65.4,21.8,-71.3,4918.0
0.00795,65.4,21.8,-71.3,4918.0
0.00800,65.4,21.8,-87.0,4918.0
0.00805,65.4,21.8,-87.0,4933.6
0.00810,65.4,21.8,-71.3,4933.6
0.00815,65.4,21.8,-71.3,4949.3
0.00820,65.4,21.8,-55.6,4949.3
0.00825,65.4,21.8,-65.7,4933.6
0.00830,65.4,21.8,-65.7,4933.6
0.00835,65.4,21.8,-55.6,4881.4
0.00840,65.4,21.8,-65.7,4859.0
0.00845,65.4,21.8,-65.7,4836.1
0.00850,65.4,21.8,-65.7,4835.6
0.00855,65.4,21.8,-76.8,4835.2
0.00860,65.4,21.8,-76.8,4834.7
0.00865,65.4,21.8,-76.8,4834.2
0.00870,65.4,21.8,-87.9,4833.7
0.00875,65.4,21.8,-87.9,4833.2
0.00880,65.4,21.8,-87.9,4832.7
0.00885,65.4,21.8,-99.1,4832.2
0.00890,65.4,21.8,-99.1,4831.8
0.00895,65.4,21.8,-99.1,4831.3
0.00900,65.4,21.8,-106.1,4830.8
0.00905,65.4,21.8,-99.1,4830.3
0.00910,65.4,21.8,-99.1,4829.8
0.00915,65.4,22.9,-106.1,4829.3
0.00920,65.4,24.3,-90.5,4828.8
0.00925,65.4,25.7,-90.5,4828.3
0.00930,65.4,25.8,-74.8,4827.9
0.00935,65.4,25.8,-74.8,4827.4
0.00940,65.4,25.8,-90.5,4826.9
0.00945,65.4,25.8,-74.8,4826.4
0.00950,65.4,25.8,-74.8,4825.9
0.00955,65.4,25.8,-104.4,4825.4
0.00960,65.4,25.8,-104.4,4824.9
0.00965,65.4,25.8,-104.4,4824.9
0.00970,65.8,26.1,-104.4,4824.9
0.00975,67.1,27.5,-119.6,4824.4
0.00980,68.5,28.9,-119.6,4824.4
0.00985,69.4,29.7,-110.2,4824.4
0.00990,69.4,29.7,-144.9,4839.2
0.00995,69.4,29.7,-110.2,4894.7
0.01000,69.4,29.7,-110.2,4894.7
0.01005,69.4,29.7,-110.2,4894.7
0.01010,69.4,29.7,-110.2,4894.7
0.01015,69.4,29.7,-121.4,4883.6
0.01020,69.4,29.7,-121.4,4883.6
0.01025,69.4,29.7,-121.4,4883.6
0.01030,69.4,29.7,-132.5,4872.5
0.01035,69.4,29.7,-121.4,4883.6
0.01040,69.4,29.7,-121.4,4883.6
0.01045,69.4,29.7,-132.5,4872.5
0.01050,69.4,29.7,-118.7,4886.2
0.01055,69.4,29.7,-118.7,4886.2
0.01060,69.4,29.7,-118.7,4901.9
0.01065,69.4,29.7,-103.1,4935.1
0.01070,69.4,29.7,-103.1,4931.8
0.01075,69.4,29.7,-103.1,4931.8
0.01080,69.4,29.7,-87.4,4931.8
0.01085,69.4,29.7,-87.4,4928.5
0.01090,69.4,29.7,-87.4,4928.5
0.01095,69.4,29.7,-85.5,4928.5
0.01100,69.4,29.7,-85.5,4925.1
0.01105,69.4,29.7,-74.4,4921.8
0.01110,69.4,29.7,-74.4,4918.5
0.01115,69.4,29.7,-85.5,4915.1
0.01120,69.4,29.7,-85.5,4911.8
0.01125,69.4,29.7,-100.6,4908.5
0.01130,69.4,29.7,-100.6,4905.1
0.01135,69.4,29.7,-84.3,4901.8
0.01140,69.4,29.7,-100.6,4898.5
0.01145,69.4,29.7,-133.0,4895.2
0.01150,69.4,29.7,-162.7,4891.8
0.01155,69.4,29.7,-133.0,4888.5
0.01160,69.4,29.7,-133.0,4885.2
0.01165,69.4,29.7,-147.0,4881.8
0.01170,69.4,29.7,-147.0,4878.5
0.01175,69.4,29.7,-162.7,4875.2
0.01180,69.4,29.7,-162.7,4871.8
0.01185,69.4,29.7,-147.0,4868.5
0.01190,69.4,29.7,-147.0,4865.2
0.01195,69.4,29.7,-131.3,4861.8
0.01200,69.4,29.7,-131.3,4858.5
0.01205,70.7,29.7,-131.3,4855.2
0.01210,72.1,29.7,-115.6,4855.2
0.01215,73.3,29.7,-115.6,4855.2
0.01220,73.3,29.7,-115.6,4851.8
0.01225,73.3,29.7,-107.8,4851.8
0.01230,73.3,29.7,-115.6,4851.8
0.01235,73.3,29.7,-115.6,4845.9
0.01240,73.3,29.7,-107.8,4886.0
0.01245,73.3,29.7,-119.0,4897.1
0.01250,73.3,29.7,-119.0,4905.0
0.01255,73.3,29.7,-119.0,4897.1
0.01260,73.9,29.7,-130.1,4886.0
0.01265,75.3,29.7,-130.1,4899.4
0.01270,76.7,29.7,-130.1,4886.0
0.01275,77.3,29.7,-130.1,4869.7
0.01280,77.3,29.7,-96.5,4869.7
0.01285,77.3,29.7,-130.1,4869.7
0.01290,77.3,29.7,-116.2,4816.7
0.01295,77.3,29.7,-116.2,4816.7
0.01300,77.3,29.7,-136.9,4829.7
0.01305,77.3,29.7,-136.9,4829.7
0.01310,77.3,29.7,-136.9,4829.7
0.01315,77.3,29.7,-136.9,4919.3
0.01320,77.3,29.7,-159.6,4933.7
0.01325,77.3,29.7,-159.6,4933.7
0.01330,77.3,29.7,-143.9,4933.7
0.01335,77.3,29.7,-159.6,4933.7
0.01340,77.3,29.7,-159.6,4933.7
0.01345,77.3,29.7,-143.9,4932.7
0.01350,77.3,29.7,-143.9,4931.7
0.01355,77.3,29.7,-130.2,4930.7
0.01360,77.3,29.7,-141.3,4929.8
0.01365,77.3,29.7,-141.3,4928.8
0.01370,77.3,29.7,-130.2,4927.8
0.01375,77.3,29.7,-141.3,4926.8
0.01380,77.3,29.7,-141.3,4925.9
0.01385,77.3,29.7,-141.3,4924.9
0.01390,77.3,30.3,-152.4,4923.9
0.01395,77.3,31.7,-152.4,4922.9
0.01400,77.3,33.0,-152.4,4922.0
0.01405,77.3,33.7,-163.5,4921.0
0.01410,77.3,33.7,-163.5,4920.0
0.01415,77.3,33.7,-163.5,4919.0
0.01420,77.3,33.7,-163.5,4918.1
0.01425,77.3,33.7,-133.5,4917.1
0.01430,77.3,33.7,-163.5,4916.1
0.01435,77.3,33.7,-174.6,4915.1
0.01440,77.3,33.7,-170.0,4914.2
0.01445,77.3,33.7,-170.0,4913.2
0.01450,77.3,34.9,-137.6,4912.2
0.01455,77.3,36.2,-137.6,4911.2
0.01460,77.3,37.6,-170.0,4863.6
0.01465,77.3,37.7,-189.6,4832.8
0.01470,77.3,37.7,-189.6,4832.8
0.01475,77.3,37.7,-170.0,4832.8
0.01480,77.3,37.7,-170.0,4831.0
0.01485,77.3,37.7,-156.5,4832.8
0.01490,77.3,37.7,-163.6,4841.4
0.01495,77.3,37.7,-189.6,4841.4
0.01500,77.3,37.7,-163.6,4848.5
0.01505,77.3,37.7,-163.6,4841.4
0.01510,77.3,37.7,-163.6,4841.4
0.01515,77.3,37.7,-163.6,4841.4
0.01520,77.3,37.7,-174.7,4830.3
0.01525,77.3,37.7,-174.7,4830.3
0.01530,77.3,37.7,-174.7,4830.3
0.01535,77.3,37.7,-185.8,4830.3
0.01540,77.3,37.7,-185.8,4865.9
0.01545,77.3,37.7,-185.8,4830.3
0.01550,78.1,37.7,-196.9,4819.1
0.01555,79.5,37.7,-196.9,4819.1
0.01560,80.9,37.7,-196.9,4766.6
0.01565,81.3,37.7,-196.9,4737.4
0.01570,81.3,37.7,-170.4,4737.4
0.01575,81.3,37.7,-196.9,4737.4
0.01580,81.3,37.7,-207.0,4737.4
0.01585,81.3,37.7,-192.1,4737.4
0.01590,81.3,37.7,-192.1,4737.4
0.01595,81.3,37.7,-170.4,4737.4
0.01600,81.3,37.7,-170.4,4737.4
0.01605,81.3,37.7,-192.1,4737.4
0.01610,81.3,37.7,-224.5,4737.4
0.01615,81.3,37.7,-224.5,4737.4
0.01620,81.3,37.7,-192.1,4737.4
0.01625,81.3,37.7,-192.1,4737.4
0.01630,81.3,37.7,-185.9,4737.4
0.01635,81.3,37.7,-197.0,4737.4
0.01640,81.3,37.7,-226.5,4737.4
0.01645,81.3,37.7,-197.0,4737.4
0.01650,81.3,37.7,-197.0,4737.4
0.01655,81.3,37.7,-197.0,4737.4
0.01660,81.3,37.7,-197.0,4737.4
0.01665,81.3,37.7,-208.1,4737.4
0.01670,81.3,37.7,-208.1,4737.4
0.01675,81.3,37.7,-208.1,4737.4
0.01680,81.3,37.7,-219.2,4737.4
0.01685,81.3,37.7,-219.2,4737.4
0.01690,81.3,37.7,-219.2,4737.4
0.01695,82.2,37.7,-230.4,4737.4
0.01700,83.6,37.7,-219.6,4737.4
0.01705,85.0,37.7,-219.6,4737.4
0.01710,85.2,37.7,-219.6,4737.4
0.01715,85.2,37.7,-207.4,4769.7
0.01720,85.2,37.7,-219.6,4776.3
0.01725,85.2,37.7,-207.4,4776.3
0.01730,85.2,37.7,-207.4,4788.5
0.01735,85.2,37.7,-219.6,4788.5
0.01740,85.2,37.7,-219.6,4776.3
0.01745,85.2,37.7,-207.4,4776.3
0.01750,85.2,37.7,-208.2,4791.9
0.01755,85.2,37.7,-247.8,4791.9
0.01760,85.2,37.7,-247.8,4796.8
0.01765,85.2,37.7,-219.3,4791.9
0.01770,85.2,37.7,-247.8,4791.9
0.01775,85.2,37.7,-219.3,4796.8
0.01780,85.2,37.7,-219.3,4796.8
0.01785,85.2,37.7,-219.3,4807.6
0.01790,85.2,37.7,-219.3,4822.0
0.01795,85.2,37.7,-230.4,4822.0
0.01800,85.2,37.7,-230.4,4822.0
0.01805,85.2,37.7,-230.4,4818.2
0.01810,85.2,37.7,-241.5,4818.2
0.01815,85.2,37.7,-241.5,4818.2
0.01820,85.2,37.7,-241.5,4814.4
0.01825,86.1,37.7,-252.7,4810.5
0.01830,87.5,37.7,-247.8,4806.7
0.01835,88.9,37.7,-247.8,4802.9
0.01840,89.2,37.7,-247.8,4799.1
0.01845,89.2,37.7,-228.7,4795.3
0.01850,89.2,37.7,-247.8,4791.5
0.01855,89.2,37.7,-228.7,4787.7
0.01860,89.2,37.7,-228.7,4783.9
0.01865,89.2,37.7,-247.8,4780.1
0.01870,89.2,37.7,-247.8,4776.3
0.01875,89.2,37.7,-228.7,4772.5
0.01880,89.2,37.8,-228.7,4768.7
0.01885,89.2,39.2,-228.7,4764.8
0.01890,89.2,40.5,-225.6,4761.0
0.01895,89.2,41.6,-222.0,4757.2
0.01900,89.2,41.6,-222.0,4753.4
0.01905,89.2,41.6,-222.0,4749.6
0.01910,89.2,41.6,-222.0,4745.8
0.01915,89.2,41.6,-222.0,4742.0
0.01920,89.2,41.6,-211.9,4738.2
0.01925,89.2,41.6,-222.0,4734.4
0.01930,89.2,41.6,-263.9,4730.6
0.01935,89.2,41.6,-263.9,4730.6
0.01940,89.2,41.6,-275.0,4730.6
0.01945,89.2,41.6,-291.8,4730.6
0.01950,89.2,41.6,-275.0,4726.8
